Symbol,Name,Sector,Location,CIK,Founded
BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan","0000908255
","
"
BXP,Boston Properties,Real Estate,"Boston, Massachusetts","0001037540
","
"
BSX,Boston Scientific,Health Care,,"0000885725
","
"
BHF,Brighthouse Financial Inc,Financials,"Charlotte, North Carolina","0001685040
","
"
BMY,Bristol-Myers Squibb,Health Care,"New York, New York",0000014272,"1989
"
AVGO,Broadcom,Information Technology,"San Jose, California","0001441634
","
"
BR,Broadridge Financial Solutions,Information Technology,"Lake Success, New York",0001383312,"1962
"
BF.B,Brown-Forman Corp.,Consumer Staples,"Louisville, Kentucky","0000014693
","
"
CHRW,C. H. Robinson Worldwide,Industrials,"Eden Prairie, Minnesota","0001043277
","
"
CA,"CA, Inc.",Information Technology,"Islandia, New York","0000356028
","
"
COG,Cabot Oil & Gas,Energy,"Houston, Texas","0000858470
","
"
CDNS,Cadence Design Systems,Information Technology,"San Jose, California","0000813672
","
"
CPB,Campbell Soup,Consumer Staples,"Camden, New Jersey",0000016732,"1869
"
COF,Capital One Financial,Financials,"Tysons Corner, Virginia",0000927628,"1935
"
CAH,Cardinal Health Inc.,Health Care,"Dublin, Ohio","0000721371
","
"
KMX,Carmax Inc,Consumer Discretionary,"Richmond, Virginia","0001170010
","
"
CCL,Carnival Corp.,Consumer Discretionary,"Miami, Florida","0000815097
","
"
CAT,Caterpillar Inc.,Industrials,"Peoria, Illinois",0000018230,"1925
"
CBOE,Cboe Global Markets,Financials,"Chicago, Illinois","0001374310
","
"
CBRE,CBRE Group,Real Estate,"Los Angeles, California","0001138118
","
"
CBS,CBS Corp.,Consumer Discretionary,"New York, New York","0000813828
","
"
CELG,Celgene Corp.,Health Care,"Summit, New Jersey","0000816284
","
"
CNC,Centene Corporation,Health Care,"St Louis, Missouri","0001071739
","
"
CNP,CenterPoint Energy,Utilities,"Houston, Texas","0001130310
","
"
CTL,CenturyLink Inc,Telecommunication Services,"Monroe, Louisiana","0000018926
","
"
CERN,Cerner,Health Care,"North Kansas City, Missouri","0000804753
","
"
CF,CF Industries Holdings Inc,Materials,"Deerfield, Illinois","0001324404
","
"
SCHW,Charles Schwab Corporation,Financials,"San Francisco, California","0000316709
","
"
CHTR,Charter Communications,Consumer Discretionary,"Stamford, Connecticut","0001091667
","
"
CVX,Chevron Corp.,Energy,"San Ramon, California",0000093410,"1879
"
